"doi";"field";"value_source_1";"value_source_2"
"10.1101/2022.04.14.22273858";"Attrition";"(i) Description of change over time The large majority of analyses following a descriptive approach examined the change of the outcome over time to assess the intervention effect (n=136; 48 %).";"notrequired."
"10.1101/2022.04.14.22273858";"Blinding";"notdetected.";"During the first round, two authors (AL and NB) extracted data from an initial set of 20 publications, blinded to each other’s coding."
"10.1101/2022.04.14.22273858";"blinding_detected";"FALSE";"TRUE"
"10.1101/2022.04.14.22273858";"ethics_statement_detected";"FALSE";"TRUE"
"10.1101/2022.04.14.22273858";"inclusion_criteria_detected";"FALSE";"TRUE"
"10.1101/2022.04.14.22273858";"attrition_detected";"TRUE";"FALSE"
"10.1101/2022.04.14.22273858";"ethics_titles";"NA,NA,NA";"Field Sample Permit,NA,NA"
"10.1101/2022.04.14.22273860";"registration_statement";"FALSE";"TRUE"
"10.1101/2022.04.14.22273903";"trial_n_detected";"TRUE";"FALSE"
"10.1101/2022.04.14.22273903";"is_modeling_paper";"FALSE";"TRUE"
"10.1101/2022.04.14.22273903";"funding_statement";"TRUE";"FALSE"
"10.1101/2022.04.15.22273915";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.04.16.22273937";"Inclusion and Exclusion Criteria";"Eligibility criteria 1.";"Eligibility criteria: Data extraction and selection process: Every step of the data extraction process from the original source was guided by PRISMA 2020, which was used to guide the process."
"10.1101/2022.04.17.22273949";"sciscore";"3";"4"
"10.1101/2022.04.17.22273949";"Randomization";"Downsampling simulation In order to estimate the SARS-CoV-2 N gene and PMMoV RNA concentration we would have obtained if we had run a smaller number of wells (X = 1 - 9), we randomly selected X wells from the 10 wells to calculate the resultant concentration: number of negative droplets Concentration (cp/L) = -ln = / 0.00085L total accepted droplets where 0.00085 mL is the volume of a single droplet14.";"Downsampling simulation: In order to estimate the SARS-CoV-2 N gene and PMMoV RNA concentration we would have obtained if we had run a smaller number of wells (X = 1 - 9), we randomly selected X wells from the 10 wells to calculate the resultant concentration:where 0.00085 μL is the volume of a single droplet14."
"10.1101/2022.04.19.488843";"trial_n_detected";"TRUE";"FALSE"
"10.1101/2022.04.20.485440";"sciscore";"2";"3"
"10.1101/2022.04.20.485440";"ethics_value1";"Methods Ethics The animal experiments were evaluated and approved by the ethics committee of the State Office of Agriculture, Food safety, and Fishery in Mecklenburg - Western Pomerania (LALLF M-V: LVL MV/TSD/7221.3-1-055/20) and the State Office for Occupational Safety, Consumer Protection and Health in Brandenburg (LAVG: 2347-5-2021).";"Ethics: The animal experiments were evaluated and approved by the ethics committee of the State Office of Agriculture, Food safety, and Fishery in Mecklenburg–Western Pomerania (LALLF M-V: LVL MV/TSD/7221.3-1-055/20) and the State Office for Occupational Safety, Consumer Protection and Health in Brandenburg (LAVG: 2347-5-2021)."
"10.1101/2022.04.20.485440";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.04.21.22274139";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.04.21.22274150";"sciscore";"3";"6"
"10.1101/2022.04.25.22274283";"sciscore";"7";"4"
"10.1101/2022.04.25.22274283";"Subject Demographics";"The study will recruit and enroll up to 375 community dwelling older adults (age 60 or older) to reach the target number of randomized subjects of n=150 in each group.";"Participants: The study will recruit and enroll up to 375 community dwelling older adults (age 60 or older) to reach the target number of randomized subjects of n=150 in each group."
"10.1101/2022.04.25.22274283";"Randomization";"This is a randomized trial registered at clinicaltrials.gov (NCT03343483).";"Study design, setting, ethical considerations: This is a randomized trial registered at clinicaltrials.gov (NCT03343483)."
"10.1101/2022.04.25.22274283";"Power Analysis";"Sample size calculation.";"Sample size calculation: A power analysis was conducted to test treatment effects by the intent-to-treat (ITT) analysis for the primary outcomes."
"10.1101/2022.04.25.22274283";"is_modeling_paper";"TRUE";"FALSE"
"10.1101/2022.04.25.22274285";"sciscore";"6";"5"
"10.1101/2022.04.25.22274285";"registration_statement";"FALSE";"TRUE"
"10.1101/2022.04.25.22274291";"sciscore";"4";"5"
"10.1101/2022.04.25.22274291";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.04.27.22274400";"ethics_value1";"2.5 Ethics This study received ethics approval from North York General Hospital Research Ethics Board (REB ID: NYGH 20-0014).";"Using descriptive time series plots we visually compare how our NLP derived primary care COVID-19 positivity series correlates with other known COVID-19 time series externally derived from Toronto Public Health, including: 1) lab confirmed COVID-19 cases, 2) COVID-19 hospitalizations, 3) COVID-19 ICU admissions, and 4) COVID-19 intubations [Toronto Public Health, 2022]. 2.5 Ethics: This study received ethics approval from North York General Hospital Research Ethics Board (REB ID: NYGH 20-0014)."
"10.1101/2022.04.27.22274400";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.04.27.22274400";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.04.27.489750";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.04.28.489859";"jet_pages";"1";"0"
"10.1101/2022.04.28.489859";"sciscore";"5";"4"
"10.1101/2022.04.28.489859";"has_jet_pages";"TRUE";"FALSE"
"10.1101/2022.04.29.22274455";"sciscore";"7";"6"
"10.1101/2022.04.29.22274455";"Attrition";"13 Exclusion criteria Additional exclusions include specimens collected from participants for whom: the reason for testing was the confirmation of COVID-19 recovery or confirmation of a positive RADT; vaccination date or interval between doses was invalid; first dose was received <21 days or second or third doses <7 days before testing; or a non-mRNA vaccine (Astra-Zeneca or Janssen) was received.";"notdetected."
"10.1101/2022.04.29.22274455";"Subject Demographics";"Methods Study design Test-negative design was conducted among community-dwelling residents >=12years-old in the province of Quebec, Canada with specimen collection between December 26 (epi-week 52), 2021 and March 12 (epi-week 10), 2022 tested for SARS-CoV-2 by nucleic acid amplification testing (NAAT).";"Study design: Test-negative design was conducted among community-dwelling residents ≥12-years-old in the province of Quebec, Canada with specimen collection between December 26 (epi-week 52), 2021 and March 12 (epi-week 10), 2022 tested for SARS-CoV-2 by nucleic acid amplification testing (NAAT)."
"10.1101/2022.04.29.22274455";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.04.29.22274455";"attrition_detected";"TRUE";"FALSE"
"10.1101/2022.04.29.22274481";"trial_n_detected";"TRUE";"FALSE"
"10.1101/2022.04.29.22274481";"sciscore";"4";"3"
"10.1101/2022.04.29.22274486";"trial_n_detected";"TRUE";"FALSE"
"10.1101/2022.04.29.490044";"sciscore";"3";"0"
"10.1101/2022.04.29.490044";"Randomization";"notdetected.";"notrequired."
"10.1101/2022.04.29.490044";"Blinding";"notdetected.";"notrequired."
"10.1101/2022.04.29.490044";"Power Analysis";"notdetected.";"notrequired."
"10.1101/2022.05.04.22274675";"sciscore";"1";"4"
"10.1101/2022.05.04.22274675";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.05.05.22274721";"sciscore";"4";"3"
"10.1101/2022.05.05.22274721";"ethics_value1";"Funding University of Bristol; UK Medical Research Council; British Heart Foundation; European Union Horizon 2020; Wellcome Trust and The Royal Society; National Institute of Health Research; UK Economic and Social Research Council Introduction Studies have sought to identify risk factors for SARS-CoV-2 infection and COVID-19 disease using a range of existing studies, new data sources such as novel surveillance sampling,1,2 and the analysis of routinely collected electronic healthcare records.";"notrequired."
"10.1101/2022.05.05.22274721";"Power Analysis";"6 Using maximal data is desirable for statistical power.";"notdetected."
"10.1101/2022.05.05.22274721";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.05.05.22274721";"ethics_statement_detected";"TRUE";"FALSE"
"10.1101/2022.05.05.22274721";"power_analysis_detected";"TRUE";"FALSE"
"10.1101/2022.05.05.22274721";"ethics_titles";"Field Sample Permit,NA,NA";"NA,NA,NA"
"10.1101/2022.05.06.22274771";"trial_n_detected";"TRUE";"FALSE"
"10.1101/2022.05.06.22274782";"sciscore";"3";"2"
"10.1101/2022.05.06.22274782";"ethics_value1";"Methods Study Design This retrospective cohort study was performed at ICES, previously the Institute for Clinical Evaluative Sciences, which is an independent, non-profit research institute funded by the Ontario Ministry of Health and Long-Term Care and has legal status under Ontario's Personal Health Information Protection Act (section 45) allowing collection and analysis of health care and demographic data, without consent, for health system evaluation and improvement.";"notrequired."
"10.1101/2022.05.06.22274782";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.05.06.22274782";"ethics_statement_detected";"TRUE";"FALSE"
"10.1101/2022.05.06.22274782";"ethics_titles";"Field Sample Permit,NA,NA";"NA,NA,NA"
"10.1101/2022.05.09.22274870";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.05.09.22274870";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.05.09.491201";"ethics_title1";"Field Sample Permit";"Consent"
"10.1101/2022.05.09.491201";"ethics_value1";"METHODS 285 Enrollment of COVID-19 vaccinees and human sample collection 286 This work results from a collaboration with the Azienda Ospedaliera Universitaria Senese, Siena (IT) that 287 provided samples from COVID-19 vaccinated donors, of both sexes, who gave their written consent.";"Enrollment of COVID-19 vaccinees and human sample collection: This work results from a collaboration with the Azienda Ospedaliera Universitaria Senese, Siena (IT) that provided samples from COVID-19 vaccinated donors, of both sexes, who gave their written consent."
"10.1101/2022.05.09.491201";"ethics_title2";"Consent";"IRB"
"10.1101/2022.05.09.491201";"ethics_value2";"METHODS 285 Enrollment of COVID-19 vaccinees and human sample collection 286 This work results from a collaboration with the Azienda Ospedaliera Universitaria Senese, Siena (IT) that 287 provided samples from COVID-19 vaccinated donors, of both sexes, who gave their written consent.";"The study was approved by the Comitato Etico di Area Vasta Sud Est (CEAVSE) ethics committees"
"10.1101/2022.05.09.491201";"Sex as a biological variable";"METHODS 285 Enrollment of COVID-19 vaccinees and human sample collection 286 This work results from a collaboration with the Azienda Ospedaliera Universitaria Senese, Siena (IT) that 287 provided samples from COVID-19 vaccinated donors, of both sexes, who gave their written consent.";"Enrollment of COVID-19 vaccinees and human sample collection: This work results from a collaboration with the Azienda Ospedaliera Universitaria Senese, Siena (IT) that provided samples from COVID-19 vaccinated donors, of both sexes, who gave their written consent."
"10.1101/2022.05.09.491201";"ethics_titles";"Field Sample Permit,Consent,IRB";"Consent,IRB,NA"
"10.1101/2022.05.10.22274866";"registration_statement";"FALSE";"TRUE"
"10.1101/2022.05.10.22274889";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.05.10.22274892";"Inclusion and Exclusion Criteria";"The protocol for the BASIL pilot study was preregistered (ISRCTN94091479) on June 9, 2020. Participant Selection Sixteen study participants were interviewed from a pool of 86 study participants from the BASIL pilot study who consented to take part in an interview at initial recruitment (inclusion criteria: aged 65 years or over with two or more physical LTCs).";"Participant Selection: Sixteen study participants were interviewed from a pool of 86 study participants from the BASIL pilot study who consented to take part in an interview at initial recruitment (inclusion criteria: aged 65 years or over with two or more physical LTCs)."
"10.1101/2022.05.10.22274892";"Subject Demographics";"The protocol for the BASIL pilot study was preregistered (ISRCTN94091479) on June 9, 2020. Participant Selection Sixteen study participants were interviewed from a pool of 86 study participants from the BASIL pilot study who consented to take part in an interview at initial recruitment (inclusion criteria: aged 65 years or over with two or more physical LTCs).";"Participant Selection: Sixteen study participants were interviewed from a pool of 86 study participants from the BASIL pilot study who consented to take part in an interview at initial recruitment (inclusion criteria: aged 65 years or over with two or more physical LTCs)."
"10.1101/2022.05.10.22274892";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.05.10.22274892";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.05.10.491349";"sciscore";"5";"4"
"10.1101/2022.05.11.22274884";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.05.11.22274949";"sciscore";"2";"0"
"10.1101/2022.05.11.22274949";"ethics_value1";"All participants were consented via written and oral consent prior to providing saliva samples.";"notrequired."
"10.1101/2022.05.11.22274949";"Inclusion and Exclusion Criteria";"Although the viral N gene was originally included in the multiplexed qPCR assays during previous testing, it is excluded in this study as both the E and RdRP targets are sufficient for detecting the presence of the viral genome in the saliva samples.";"notrequired."
"10.1101/2022.05.11.22274949";"Attrition";"notdetected.";"notrequired."
"10.1101/2022.05.11.22274949";"Sex as a biological variable";"notdetected.";"notrequired."
"10.1101/2022.05.11.22274949";"Subject Demographics";"notdetected.";"notrequired."
"10.1101/2022.05.11.22274949";"Randomization";"notdetected.";"notrequired."
"10.1101/2022.05.11.22274949";"Blinding";"notdetected.";"notrequired."
"10.1101/2022.05.11.22274949";"Power Analysis";"notdetected.";"notrequired."
"10.1101/2022.05.11.22274949";"registration_statement";"FALSE";"TRUE"
"10.1101/2022.05.11.22274949";"ethics_statement_detected";"TRUE";"FALSE"
"10.1101/2022.05.11.22274949";"inclusion_criteria_detected";"TRUE";"FALSE"
"10.1101/2022.05.11.22274949";"ethics_titles";"Consent,IRB,NA";"NA,NA,NA"
"10.1101/2022.05.11.22274949";"has_consent";"TRUE";"FALSE"
"10.1101/2022.05.11.22274949";"has_IRB_or_consent";"TRUE";"FALSE"
"10.1101/2022.05.12.22274973";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.05.12.22274989";"sciscore";"2";"3"
"10.1101/2022.05.12.22274989";"ethics_value1";"notrequired.";"The trial and the Investigational New Drug application were approved by the ethics committee of the Faculty of Medicine, Chulalongkorn University, Bangkok, and Thailand’s Food and Drug Administration, respectively."
"10.1101/2022.05.12.22274989";"Inclusion and Exclusion Criteria";"Methods Seventy-two eligible volunteers, 36 aged 18-55 (adults) followed by 36 aged 56-75 (elderly) enrolled in a dose escalation study of ChulaCov19 mRNA vaccine.";"The inclusion and exclusion criteria are shown in the Supplemental Table S1."
"10.1101/2022.05.12.22274989";"Attrition";"notrequired.";"notdetected."
"10.1101/2022.05.12.22274989";"Subject Demographics";"Methods Seventy-two eligible volunteers, 36 aged 18-55 (adults) followed by 36 aged 56-75 (elderly) enrolled in a dose escalation study of ChulaCov19 mRNA vaccine.";"Trial Design: This phase 1, open-label, dose escalation study to evaluate safety and immunogenicity of ChulaCov19 vaccine enrolled healthy participants aged 18-55 (adults, n=36) followed by a cohort aged 56-75 (elderly, n=36)."
"10.1101/2022.05.12.22274989";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.05.12.22274989";"ethics_statement_detected";"FALSE";"TRUE"
"10.1101/2022.05.12.22274989";"ethics_titles";"NA,NA,NA";"IRB,Consent,NA"
"10.1101/2022.05.12.22274989";"has_consent";"FALSE";"TRUE"
"10.1101/2022.05.12.22274989";"has_IRB_or_consent";"FALSE";"TRUE"
