publication_date;doi;bar;pie;hist;bardot;box;dot;violin;approp;flowno;flowyes;sciscore;ethics_label;ethics_title1;ethics_value1;ethics_title2;ethics_value2;ethics_title3;ethics_value3;label2;value2;label3;value3;label4;value4;label5;value5;label6;value6;label7;value7;label8;value8;limitations;jet_pages;trial_n_detected;is_modeling_paper;is_open_data;is_open_code;coi_statement;funding_statement;registration_statement;limitations_detected;has_jet_pages;randomization_detected;randomization_required;blinding_detected;blinding_required;ethics_statement_detected;ethics_statement_required;power_analysis_detected;power_analysis_required;sex_variable_detected;sex_variable_required;inclusion_criteria_detected;inclusion_criteria_required;attrition_detected;attrition_required;subject_demographics_detected;subject_demographics_required;cla_detected;cla_required;ethics_titles;has_consent;has_IRB;has_IRB_or_consent;is_animal_study;has_IRB_only
2022-06-06;10.1101/2022.06.06.494965;0;0;0;0;0;0;0;0;0;0;3;Ethics;Consent;Accordingly, a waiver of informed consent was granted by the Institutional Review Board (IRB) at the American University of Beirut (AUB).;IRB;Accordingly, a waiver of informed consent was granted by the Institutional Review Board (IRB) at the American University of Beirut (AUB).;NA;NA;Inclusion and Exclusion Criteria;notdetected.;Attrition;notdetected.;Sex as a biological variable;notdetected.;Subject Demographics;notdetected.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;5;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;NA;NA;Consent,IRB,NA;TRUE;FALSE;TRUE;FALSE;FALSE
2022-04-28;10.1101/2022.04.25.22274187;0;0;0;0;0;0;0;0;0;0;3;Ethics;NA;notrequired.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;notrequired.;Attrition;notrequired.;Sex as a biological variable;notrequired.;Subject Demographics;notrequired.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;6;0;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA,NA,NA;FALSE;FALSE;FALSE;FALSE;FALSE
2022-05-20;10.1101/2022.05.20.492815;0;0;0;0;0;0;0;0;0;0;6;Ethics;NA;notrequired.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;notrequired.;Attrition;notrequired.;Sex as a biological variable;notrequired.;Subject Demographics;notrequired.;Randomization;The experiments were not randomized, and the investigators were not blinded to allocation during experiments and outcome assessment.;Blinding;The experiments were not randomized, and the investigators were not blinded to allocation during experiments and outcome assessment.;Power Analysis;No statistical methods were used to predetermine sample size.;0;0;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA,NA,NA;FALSE;FALSE;FALSE;FALSE;FALSE
2022-06-08;10.1101/2022.06.07.22276055;0;0;0;0;0;0;0;0;0;0;4;Ethics;Field Sample Permit;Sewage collection and processing were conducted on the same day, and the RNA samples were stored at -80 ℃ until downstream analysis.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;notrequired.;Attrition;notrequired.;Sex as a biological variable;notrequired.;Subject Demographics;notrequired.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;0;0;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NA;NA;Field Sample Permit,NA,NA;FALSE;FALSE;FALSE;FALSE;FALSE
2022-06-03;10.1101/2022.06.02.22275926;0;0;0;0;0;0;0;0;0;0;3;Ethics;NA;notrequired.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;notrequired.;Attrition;notrequired.;Sex as a biological variable;notrequired.;Subject Demographics;notrequired.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;0;0;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA,NA,NA;FALSE;FALSE;FALSE;FALSE;FALSE
2022-05-06;10.1101/2022.05.05.490805;0;0;0;0;0;0;0;0;0;0;3;Ethics;Consent;Informed consent for the use of human tissues was obtained from all subjects and approval was granted by the Institutional Review Board (IRB) of the University of Hong Kong and the Hospital Authority (Hong Kong West) (IRB approval no: UW 20-862).;IRB;Informed consent for the use of human tissues was obtained from all subjects and approval was granted by the Institutional Review Board (IRB) of the University of Hong Kong and the Hospital Authority (Hong Kong West) (IRB approval no: UW 20-862).;NA;NA;Inclusion and Exclusion Criteria;notdetected.;Attrition;notdetected.;Sex as a biological variable;notdetected.;Subject Demographics;notdetected.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;NA;NA;Consent,IRB,NA;TRUE;FALSE;TRUE;FALSE;FALSE
2022-04-16;10.1101/2022.04.08.22273532;0;0;0;0;0;0;0;0;0;0;4;Ethics;Consent;Ethical aspects: The study was designed and performed according to the Helsinki declaration and all blood donors gave their written informed consent (Study protocol EX-2021-06438339--UBA-DME#SSA_FFYB, Ethics committee of the Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires).;IRB;Ethical aspects: The study was designed and performed according to the Helsinki declaration and all blood donors gave their written informed consent (Study protocol EX-2021-06438339--UBA-DME#SSA_FFYB, Ethics committee of the Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires).;NA;NA;Inclusion and Exclusion Criteria;notdetected.;Attrition;notdetected.;Sex as a biological variable;notdetected.;Subject Demographics;notdetected.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;13;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;NA;NA;Consent,IRB,NA;TRUE;FALSE;TRUE;FALSE;FALSE
2022-05-17;10.1101/2022.05.16.492178;0;0;0;0;0;0;0;0;0;0;3;Ethics;NA;notrequired.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;notrequired.;Attrition;notrequired.;Sex as a biological variable;notrequired.;Subject Demographics;notrequired.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;0;0;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA,NA,NA;FALSE;FALSE;FALSE;FALSE;FALSE
2022-04-26;10.1101/2022.04.24.489298;0;0;0;0;0;0;0;0;0;0;4;Ethics;Field Sample Permit;Sample collection: Samples were collected in plain blood collection tubes with a gel separator, then immediately preserved at 4°C and allowed to clot for a maximum of 2 hours.;IRB;Ethical approval: The study protocol was approved by the Institutional Review Board (IRB) at UJ (Ref. No. 68/2021).;Consent;A written and signed informed consent was obtained from all participants who agreed to participate following a full explanation of the study objectives.;Inclusion and Exclusion Criteria;The inclusion criterion was age ≥18 years of age.;Attrition;notdetected.;Sex as a biological variable;notdetected.;Subject Demographics;The inclusion criterion was age ≥18 years of age.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;NA;NA;Field Sample Permit,IRB,Consent;TRUE;FALSE;TRUE;FALSE;FALSE
2022-05-27;10.1101/2022.05.27.493400;0;0;0;0;0;0;0;0;0;0;3;Ethics;NA;notrequired.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;notrequired.;Attrition;notrequired.;Sex as a biological variable;notdetected.;Subject Demographics;notrequired.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA,NA,NA;FALSE;FALSE;FALSE;FALSE;FALSE
2022-04-10;10.1101/2022.04.06.22273526;0;0;0;0;0;0;0;0;0;0;6;Ethics;IRB;"The Ethics Committee of Department of Nursing, National and Kapodistrian University of Athens approved the study protocol (reference number; 370, 02-09-2021).";NA;NA;NA;NA;Inclusion and Exclusion Criteria;notdetected.;Attrition;notdetected.;Sex as a biological variable;Recruitment of pregnant women began about one year after the Greek government has offered a free COVID-19 vaccine to all adults.;Subject Demographics;Women were considered eligible for the study if they were pregnant aged 18 or older and indicated that they could complete the study questionnaire in Greek.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;14;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;NA;NA;IRB,NA,NA;FALSE;FALSE;FALSE;FALSE;TRUE
2022-05-23;10.1101/2022.05.21.492920;0;0;0;0;0;0;0;0;0;0;4;Ethics;IACUC;, Radiation Safety, and Animal Care and Use Committees.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;The first 5 ns of each trajectory were excluded from the analysis.;Attrition;notdetected.;Sex as a biological variable;Male golden Syrian hamsters (7 to 8 weeks of age) were purchased from Envigo (Haslett, MI).;Subject Demographics;Male golden Syrian hamsters (7 to 8 weeks of age) were purchased from Envigo (Haslett, MI).;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;NA;NA;IACUC,NA,NA;FALSE;FALSE;FALSE;TRUE;FALSE
2022-06-06;10.1101/2022.06.06.22276032;0;0;0;0;0;0;0;0;0;0;3;Ethics;NA;notrequired.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;notrequired.;Attrition;notrequired.;Sex as a biological variable;notrequired.;Subject Demographics;notrequired.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;13;0;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA,NA,NA;FALSE;FALSE;FALSE;FALSE;FALSE
2022-06-16;10.1101/2022.06.12.22276299;0;0;0;0;0;0;0;0;0;0;2;Ethics;Field Sample Permit;Assessment of study quality: A critical appraisal of the quality of the studies included was carried out following the 10 questions for risk of bias assessment as described by Hoy et al.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;Study design and eligibility criteria: The Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) approach served as template for this review [15].;Attrition;notrequired.;Sex as a biological variable;notrequired.;Subject Demographics;notrequired.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;4;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;NA;NA;Field Sample Permit,NA,NA;FALSE;FALSE;FALSE;FALSE;FALSE
2022-04-07;10.1101/2022.04.05.22272397;0;0;0;0;0;0;0;0;0;0;4;Ethics;NA;notrequired.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;Study Selection: Articles were included if they evaluated the deaths of despair during the COVID-19 pandemic.;Attrition;notrequired.;Sex as a biological variable;notrequired.;Subject Demographics;notrequired.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;29;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA,NA,NA;FALSE;FALSE;FALSE;FALSE;FALSE
2022-06-14;10.1101/2022.06.13.22276314;0;0;0;0;0;0;0;0;0;0;1;Ethics;IRB;This study includes publicly available, de-identified, anonymous data and does not require approval by the institutional review board.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;notdetected.;Attrition;notdetected.;Sex as a biological variable;notdetected.;Subject Demographics;notdetected.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;NA;NA;IRB,NA,NA;FALSE;FALSE;FALSE;FALSE;TRUE
2022-04-27;10.1101/2022.04.22.22273686;0;0;0;0;0;0;0;0;0;0;3;Ethics;NA;notrequired.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;notrequired.;Attrition;notrequired.;Sex as a biological variable;notrequired.;Subject Demographics;notrequired.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA,NA,NA;FALSE;FALSE;FALSE;FALSE;FALSE
2022-06-30;10.1101/2022.06.29.498191;0;0;0;0;0;0;0;0;0;0;5;Ethics;NA;notrequired.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;notrequired.;Attrition;notrequired.;Sex as a biological variable;Acute lung injury animal model: 6∼8 weeks BALB/C female mice were purchased from Beijing Vital River Laboratory Animal Technology Co.;Subject Demographics;Acute lung injury animal model: 6∼8 weeks BALB/C female mice were purchased from Beijing Vital River Laboratory Animal Technology Co.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;NA;NA;NA,NA,NA;FALSE;FALSE;FALSE;FALSE;FALSE
2022-06-14;10.1101/2022.06.09.22276192;0;0;0;0;0;0;0;0;0;0;5;Ethics;IRB;Ethical Consideration: All research activities and protocols were approved by the Committee for Human Research and Ethics at the University of Energy and Natural Resources with reference number CHRE/AP/09/021.;Consent;The purpose of the study and all procedures were explained to participants before consent was taken.;NA;NA;Inclusion and Exclusion Criteria;notdetected.;Attrition;notdetected.;Sex as a biological variable;Individuals with PCR-confirmed prior infection, pregnant women, individuals younger than 18 years, or seriously ill persons were not included in the study.;Subject Demographics;Individuals with PCR-confirmed prior infection, pregnant women, individuals younger than 18 years, or seriously ill persons were not included in the study.;Randomization;One sector was randomly selected and its centre was identified.;Blinding;notdetected.;Power Analysis;If the true probability of seroconversion among vaccinated individuals is 0.6 (16), we will need to study 34 case patients and 34 control patients to be able to reject the null hypothesis that the seropositivity rates for vaccinated and unvaccinated controls are equal with probability (power) 0.9.;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;NA;NA;IRB,Consent,NA;TRUE;FALSE;TRUE;FALSE;FALSE
2022-04-28;10.1101/2022.04.27.489750;0;0;0;0;0;0;0;0;0;0;3;Ethics;NA;notrequired.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;notrequired.;Attrition;notrequired.;Sex as a biological variable;notrequired.;Subject Demographics;notrequired.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;30;0;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA,NA,NA;FALSE;FALSE;FALSE;FALSE;FALSE
