"filename","bar","pie","hist","bardot","box","dot","violin","approp","flowno","flowyes","sciscore","ethics_label","ethics_title1","ethics_value1","ethics_title2","ethics_value2","ethics_title3","ethics_value3","label2","value2","label3","value3","label4","value4","label5","value5","label6","value6","label7","value7","label8","value8","limitations","jet_pages","trial_n_detected","is_modeling_paper","is_open_data","is_open_code","coi_statement","funding_statement","registration_statement"
"10.1101+2022.04.22.22274176.pdf","0","0","0","0","0","0","0","0","0","0","2","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","Inclusion and exclusion criteria Participants with at least 3 months of follow-up before the study start date for each wave were included, to ensure adequate capture of baseline factors.","Attrition","not required.","Sex as a biological variable","not detected.","Subject Demographics","We selected people aged 67 years or older at the start of each wave to represent a population (1) at or over retirement age and (2) at risk of severe COVID-19 due to their age.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",19,0,False,False,True,True,True,True,False
"10.1101+2022.04.22.22273686.pdf","0","0","0","0","0","0","0","0","0","0","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",0,0,False,False,False,False,True,True,False
"10.1101+2022.03.28.22272975.pdf","0","0","0","0","0","0","0","1","1","0","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",0,0,False,False,False,False,True,True,False
"10.1101+2022.06.21.22276720.pdf","0","0","0","0","0","0","0","0","0","2","3","Ethics","IRB","Additionally, ethical approval to conduct this research has been obtained from the Ottawa Health Sciences Research Ethics Board (OHSN REB) prior to the start of all research activities.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","This study included only records of children whose records that contained at least one dose of any pediatric vaccine reported, and excluded records that had incorrect dates of birth.","Attrition","Statistical analysis: Two outcomes were assessed; Enrollment of children on the CANImmunize platform, which was assessed as the number of records created on CANImmunize; and the on-time completion rate of self-reported immunization series for pneumococcal vaccine.","Sex as a biological variable","not detected.","Subject Demographics","not detected.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",6,0,False,False,False,False,True,True,False
"10.1101+2022.05.15.22275071.pdf","0","0","1","0","0","0","0","2","0","0","4","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","Other vaccine brands were excluded because we tried to focus more on the brands adopted in the vaccination process.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",13,0,False,True,False,False,True,True,False
"10.1101+2022.05.15.22273945.pdf","0","0","0","0","0","0","0","0","0","0","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",0,0,False,False,False,False,False,False,False
"10.1101+2022.06.14.496214.pdf","0","0","0","16","0","1","0","0","0","0","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",0,2,False,False,True,False,True,True,False
"10.1101+2022.05.26.22275649.pdf","0","0","0","0","0","0","0","0","0","0","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",0,0,False,False,True,True,True,True,False
"10.1101+2022.03.30.22273203.pdf","0","0","0","0","0","0","0","0","0","1","6","Ethics","Consent","All participants gave informed consent, and the study was approved by the ethics committee of the University of Occupational and Environmental Health, Japan (approval number: R2-079 and R3-006).","IRB","All participants gave informed consent, and the study was approved by the ethics committee of the University of Occupational and Environmental Health, Japan (approval number: R2-079 and R3-006).",NULL,NULL,"Inclusion and Exclusion Criteria","A total of 27,036 participants were included after excluding ineligible individuals: those for which no data on company size was available, who worked in the medical or welfare sectors, or who were older than 65 at the time of the follow-up survey.","Attrition","Finally, 15,829 participants were included in the analysis.","Sex as a biological variable","not detected.","Subject Demographics","The participants were aged 20-65 years and were employed at the time of the baseline survey (N=33,087).","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",8,0,False,False,False,False,True,True,False
"10.1101+2022.04.11.22273709.pdf","0","0","0","0","0","0","0","0","0","0","2","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",9,0,False,False,False,False,True,False,False
"10.1101+2022.05.12.22274973.pdf","0","0","0","0","0","0","0","0","5","0","3","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","Deaths with an unspecified setting were excluded across all the analysis.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","For this model, we used the municipality of death occurrence as a random intercept to account for intermunicipal variability in death registration in the model and to establish a hierarchical relationship between individual and municipal-level variables.","Blinding","not detected.","Power Analysis","not detected.",14,0,False,False,True,True,True,False,False
"10.1101+2022.05.23.493121.pdf","2","0","0","2","1","10","5","2","0","0","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",0,0,False,False,False,True,True,True,False
"10.1101+2022.04.13.488236.pdf","0","0","0","0","0","0","0","0","0","0","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",0,0,False,False,False,False,True,True,False
"10.1101+2022.05.16.492062.pdf","1","0","0","0","1","1","0","0","0","0","2","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not detected.","Subject Demographics","not required.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",0,0,False,True,False,False,True,True,False
"10.1101+2022.05.27.493795.pdf","1","0","0","0","0","1","0","0","0","0","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",0,0,True,True,False,False,True,True,False
"10.1101+2022.05.13.22275054.pdf","0","0","0","0","0","0","0","0","0","0","3","Ethics","Consent","All participants provided informed consent, and Institutional Review Board (IRB) approval was provided by the Wake Forest School of Medicine IRB.","IRB","All participants provided informed consent, and Institutional Review Board (IRB) approval was provided by the Wake Forest School of Medicine IRB.",NULL,NULL,"Inclusion and Exclusion Criteria","Participants missing the date of dose 1 (i.e., only have an entry labeled as dose 2) on the daily survey or with implausible dates/dates with obvious typos (e.g., dates prior to 12/01/2020 for participants not in a clinical trial and dates after the date of entry) on the supplemental survey were excluded.","Attrition","Included in the primary analysis are 32,122 participants (Table 1) with at least two sources of vaccine information for comparison. 29,919 participants are included in the comparison of the two self-reported sources (immediate and delayed recall); 6,628 participants are included in the comparison of immediate recall self-report and EHR vaccine information; and 6,241 participants are included in the comparison of delayed recall self-report and EHR vaccine information (Table 2).","Sex as a biological variable","not detected.","Subject Demographics","METHODS 91 Study Sample The COVID-19 Community Research Partnership (CCRP) is a prospective, multi-site cohort syndromic COVID-19 surveillance study of a convenience sample of adults (18+ years) enrolled from April 2020 through June 2021 primarily through direct email outreach at ten healthcare systems from the mid-Atlantic and southeastern United States (http://www.covid19communitystudy.org/).11 Data were collected via a secure, HIPAAcompliant, online platform through March 2022.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",17,0,True,False,False,False,False,True,False
"10.1101+2022.04.13.22273825.pdf","0","0","0","0","0","0","0","0","0","0","3","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","We excluded recipients of non-Health Canada-authorized vaccines or Ad26.COV2.S (Johnson & Johnson's Janssen) vaccine.","Attrition","not required.","Sex as a biological variable","not detected.","Subject Demographics","We included all residents aged >=18 years, eligible for provincial health insurance (virtually everyone), not living in long-term care, and tested for SARS-CoV-2 between the start of vaccine availability in a province (14 December 2020 in Ontario and Quebec, 15 December 2020 in BC, 16 December 2020 in Manitoba) and 30 September 2021 and met our case or control definitions.","Randomization","For controls with multiple negative tests, we randomly selected one symptomatic test-negative specimen collection date.","Blinding","not detected.","Power Analysis","not detected.",42,0,False,False,False,False,True,True,False
"10.1101+2022.04.29.22274455.pdf","0","0","0","0","0","0","0","0","0","0","7","Ethics","Field Sample Permit","Ethics statement The study was conducted under the legal mandate of the National Director of Public Health of Quebec under the Public Health Act and was also approved by the Research Ethics Board of the Centre hospitalier universitaire de QuebecUniversite Laval.","IRB","Ethics statement The study was conducted under the legal mandate of the National Director of Public Health of Quebec under the Public Health Act and was also approved by the Research Ethics Board of the Centre hospitalier universitaire de QuebecUniversite Laval.",NULL,NULL,"Inclusion and Exclusion Criteria","Those for whom SARS-CoV-2 reinfection was previously documented before December 26, 2021 and all specimens collected <90 days after a first positive specimen were excluded.","Attrition","13 Exclusion criteria Additional exclusions include specimens collected from participants for whom: the reason for testing was the confirmation of COVID-19 recovery or confirmation of a positive RADT; vaccination date or interval between doses was invalid; first dose was received <21 days or second or third doses <7 days before testing; or a non-mRNA vaccine (Astra-Zeneca or Janssen) was received.","Sex as a biological variable","not detected.","Subject Demographics","Methods Study design Test-negative design was conducted among community-dwelling residents >=12years-old in the province of Quebec, Canada with specimen collection between December 26 (epi-week 52), 2021 and March 12 (epi-week 10), 2022 tested for SARS-CoV-2 by nucleic acid amplification testing (NAAT).","Randomization","Controls were SARS-CoV-2 test-negative during the study period; for individuals with multiple negative tests, a single negative specimen per individual was randomly selected.","Blinding","not detected.","Power Analysis","not detected.",8,0,False,False,False,False,True,False,False
"10.1101+2022.06.28.22276983.pdf","0","0","0","0","0","0","0","0","0","0","2","Ethics","IRB","The study was approved by the University of Cape Town and Stellenbosch University Health Research Ethics Committees and Western Cape Government: Health.","Consent","Individual informed consent requirement was waived for this secondary analysis of de-identified data.",NULL,NULL,"Inclusion and Exclusion Criteria","not detected.","Attrition","not detected.","Sex as a biological variable","not detected.","Subject Demographics","Methods: We conducted a cohort study using de-identified data from the Western Cape Provincial Health Data Centre (WCPHDC) of public sector patients aged >=20 years with a laboratory confirmed COVID-19 diagnosis (positive SARS-CoV-2 PCR or antigen test).","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",11,0,False,False,False,False,True,False,False
"10.1101+2022.04.14.22273903.pdf","0","0","0","0","0","1","0","2","0","1","1","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","To answer question 2 (mortality comparisons by year), we included studies that analysed data on deaths compared to a pre-exposure period that permitted estimated excess mortality.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",0,0,True,False,False,False,True,True,False
"10.1101+2022.04.27.489750.pdf","0","0","2","0","0","0","0","2","0","0","3","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",32,0,False,True,False,False,False,True,False
"10.1101+2022.04.07.22273549.pdf","0","0","0","0","0","0","0","0","0","0","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",0,0,False,True,True,True,True,False,False
"10.1101+2022.05.10.490700.pdf","0","1","0","0","4","2","0","1","0","0","5","Ethics","IRB","MATERIALS AND METHODS Study design This longitudinal study was reviewed and approved by the Kyoto University Graduate School and Faculty of Medicine, Ethics Committee (R0418).","Consent","At the time of enrollment, all donors provided written informed consent, in accordance with the Declaration of Helsinki.",NULL,NULL,"Inclusion and Exclusion Criteria","Participants taking medications that may affect the immune system, including steroids or immunomodulatory drugs, were excluded.","Attrition","Six did not meet the eligibility criteria, and a total of 219 individuals consisting of 107 adults (aged less than 65 years, mainly workers in Kyoto University Hospital) and 112 elderly individuals (aged more than 65 years, mainly ordinary citizens) were enrolled in the study.","Sex as a biological variable","not detected.","Subject Demographics","not detected.","Randomization","The parameters used were as follows: opt-SNE: max iterations = 1000, opt-SNE end = 5000, perplexity = 30, theta = 0.5, components = 2, random seed = 6925, verbosity = 25; FlowSOM: xdim = 10, ydim = 10, rien =10, comma-separated k values = 20, 25, and random seed = 6793.","Blinding","not detected.","Power Analysis","not detected.",1449,0,False,False,False,False,True,True,False
"10.1101+2022.05.10.22274866.pdf","0","0","0","0","0","0","0","0","0","0","1","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","Exclusion criteria included patients with diagnoses of cancer, viral hepatitis, alpha-1-antitrypsin deficiency, and other diseases of the liver.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",6,0,False,False,False,False,True,True,False
"10.1101+2022.06.12.22276299.pdf","0","0","0","0","0","0","0","0","0","0","2","Ethics","Field Sample Permit","Assessment of study quality A critical appraisal of the quality of the studies included was carried out following the 10 questions for risk of bias assessment as described by Hoy et al.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","Review articles were excluded.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",4,0,False,False,False,False,True,True,False
"10.1101+2022.04.08.22273532.pdf","1","0","0","0","1","0","0","0","0","0","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",31,0,True,False,False,False,True,True,False
"10.1101+2022.06.05.494856.pdf","0","0","0","0","0","0","0","0","0","0","3","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",130,0,False,True,False,False,True,False,False
"10.1101+2022.05.13.491916.pdf","0","0","0","0","0","0","0","0","0","0","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",34,0,False,False,False,False,True,True,False
"10.1101+2022.04.07.22273561.pdf","0","0","0","0","0","0","0","0","0","0","1","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not detected.","Subject Demographics","Methods We did an interrupted time series analysis using insurance claims from January 1, 2017, to June 1, 2020 of beneficiaries 18 years or older from a large private sector medical aid scheme.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",11,0,False,False,False,True,True,True,False
"10.1101+2022.06.08.22276134.pdf","0","0","0","0","0","0","0","0","0","0","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",6,0,False,False,False,False,False,False,False
"10.1101+2022.05.10.22274919.pdf","0","0","0","0","0","0","0","0","0","0","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",0,0,False,False,False,False,False,False,False
"10.1101+2022.05.06.22274719.pdf","0","0","0","1","0","0","0","0","0","0","3","Ethics","IRB","Methods All research activities were implemented under protocols approved by Northwestern University's institutional review board (#STU00212457 and #STU00212472).",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not detected.","Attrition","Thirty-three participants provided a complete series of samples.","Sex as a biological variable","not detected.","Subject Demographics","not detected.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",2,0,False,False,False,False,True,True,False
"10.1101+2022.05.31.494211.pdf","0","0","0","4","0","0","0","0","0","0","4","Ethics","IACUC","Infection of BALB/c and hACE2/k18 Mice All animals were cared for according to the standards set forth by the Institutional Animal Care and Use Committee at the University of Maryland-Baltimore.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not detected.","Attrition","not detected.","Sex as a biological variable","not detected.","Subject Demographics","On Day 0, 12-week old BALB/c (Charles River Laboratories, Wilmington, MA) and 12-week old hACE2 transgenic K18 mice (K18-hACE2) (Jackson Labs, Bar Harbor, ME) were anesthetized interperitoneally with 50mL ketamine(1.3mg/mouse)/ xylazine (0.38mg/mouse).","Randomization","not detected.","Blinding","H/E Staining of Lungs and Pathological Scoring Lungs were scored in a blinded fashion with a 0-5 score given, 0 being no inflammation and 5 being the highest degree of inflammation.","Power Analysis","not detected.",0,0,False,False,False,False,False,True,False
"10.1101+2022.06.09.22276228.pdf","0","0","1","0","0","1","0","0","0","0","4","Ethics","Consent","SS3501 et seq), and were determined to be public health surveillance with waiver of informed consent by institutional review boards at CDC and each enrolling site.","IRB","SS3501 et seq), and were determined to be public health surveillance with waiver of informed consent by institutional review boards at CDC and each enrolling site.",NULL,NULL,"Inclusion and Exclusion Criteria","Those who received one mRNA COVID-19 vaccine dose but did not complete a primary series were classified as partially vaccinated and excluded from this analysis.","Attrition","not detected.","Sex as a biological variable","not detected.","Subject Demographics","Case-patients were adults (>=18 years old) admitted to the hospital with symptomatic COVID-19 confirmed with a positive SARS-CoV-2 reverse transcription- polymerase chain reaction (RT-PCR) or antigen test within 14 days of symptom onset.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",12,0,False,False,False,False,True,True,False
